case_id,execution_mode,status_before,status_after,boundary_reason_before,operating_vin_v,load_ratio,operating_frequency_hz,hardware_checksum_before,hardware_checksum_after,hardware_checksum_match,candidate_duty_before,candidate_duty_after,candidate_duty_abs_delta,waveform_duty_before,waveform_duty_after,waveform_duty_abs_delta,effective_duty_operating,duty_loss_operating,command_duty_operating,max_effective_duty,max_command_duty,duty_status,duty_loss_consistent,difference_classification
c01_nominal_full_load,new_design,executed,executed,,750.0,1.0,100000.0,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,True,0.7293531886916502,0.7293531886916502,0.0,0.676,0.676,0.0,0.676,0.05291255752794214,0.7289125575279422,0.78,0.9,pass,True,operating_duty_policy_and_primary_current_refresh
c02_low_input_full_load,fixed_hardware_refresh,boundary_failure,executed,ValueError: PSFB duties must satisfy 0 <= effective <= command <= 1.,650.0,1.0,100000.0,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,True,0.7293531886916502,0.7293531886916502,0.0,0.676,0.78,0.10399999999999998,0.78,0.06156137156728873,0.8415613715672887,0.78,0.9,pass,True,boundary_resolved_by_operating_duty_policy
c03_high_input_full_load,fixed_hardware_refresh,executed,executed,,850.0,1.0,100000.0,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,True,0.7293531886916502,0.7293531886916502,0.0,0.5964705882352941,0.5964705882352941,0.0,0.5964705882352941,0.04707634296322079,0.6435469311985149,0.78,0.9,pass,True,operating_duty_policy_and_primary_current_refresh
c04_nominal_light_load_20pct,fixed_hardware_refresh,executed,executed,,750.0,0.2,100000.0,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,True,0.7293531886916502,0.7293531886916502,0.0,0.676,0.676,0.0,0.676,0.010670637738330045,0.68667063773833,0.78,0.9,pass,True,operating_duty_policy_and_primary_current_refresh
c05_nominal_very_light_load_10pct,fixed_hardware_refresh,executed,executed,,750.0,0.1,100000.0,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,True,0.7293531886916502,0.7293531886916502,0.0,0.676,0.676,0.0,0.676,0.005335318869165022,0.6813353188691651,0.78,0.9,pass,True,operating_duty_policy_and_primary_current_refresh
c06_nominal_high_frequency,fixed_hardware_refresh,executed,executed,,750.0,1.0,150000.0,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,True,0.7293531886916502,0.7293531886916502,0.0,0.676,0.676,0.0,0.676,0.08002978303747534,0.7560297830374754,0.78,0.9,pass,True,operating_duty_policy_and_primary_current_refresh
c07_nominal_high_ripple,fixed_hardware_refresh,executed,executed,,750.0,1.0,100000.0,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,True,0.7293531886916502,0.7293531886916502,0.0,0.676,0.676,0.0,0.676,0.05335318869165022,0.7293531886916502,0.78,0.9,pass,True,operating_duty_policy_and_primary_current_refresh
