pdf_filename,series,series_mounting_group,rated_voltage_v,capacitance_uf,diameter_mm,length_mm,ripple_current_a,ripple_frequency_hz,ripple_temperature_c,tan_delta,esr_value_raw,esr_unit,esr_ohm,lc_ma,part_number,source_row_index,endurance_hours,operating_temperature_max_c,raw_row_text,parse_status,is_order_code_template,source_page,parser_type,dimension_source,esr_source,source_brand,total_volume_cm3,capacitor_technology,loss_model_type,capacitor_type,application_category,package_shape,mounting_style
al-all-e.pdf,MVE,smd,6.3,100,5,5.5,0.069,120,105,0.30,0.30,tan_delta,3.978873577,0.0063,EMVE6R3ARA101MF55G,1,1000,105,"6.3 100 F55 0.30 69 EMVE6R3ARA101MF55G",parsed,false,107,tandelta_table,size_code_dimension_join,tandelta_derived,Nippon Chemi-Con,0.107992699,aluminum_electrolytic,esr_based,aluminum_electrolytic,industrial_smps_dc_link,cylindrical_can,smd_can
al-all-e.pdf,MZA,smd,6.3,47,6.3,5.8,0.160,100000,105,,0.70,ohm,0.70,0.003,EMZA6R3ARA470ME61G,1,2000,105,"6.3 47 E61 0.70 - 160 EMZA6R3ARA470ME61G",parsed,false,119,impedance_as_esr_table,size_code_dimension_join,impedance_proxy,Nippon Chemi-Con,0.180715493,aluminum_electrolytic,esr_based,aluminum_electrolytic,industrial_smps_dc_link,cylindrical_can,smd_can
al-all-e.pdf,MHS,smd,16,680,8,10,0.620,100000,125,,0.19,ohm,0.19,0.1088,EMHS160RA681MHA0G,1,5000,125,"16 680 HA0 0.19 2.6 620 EMHS160RA681MHA0G",parsed,true,135,direct_esr_table,size_code_dimension_join,direct_esr,Nippon Chemi-Con,0.502654825,aluminum_electrolytic,esr_based,aluminum_electrolytic,industrial_smps_dc_link,cylindrical_can,smd_can
al-all-e.pdf,RHB,screw_terminal,575,1000,63.5,70,3.80,120,85,0.25,0.25,tan_delta,0.331572798,5.75,ERHB5H1LGC102MD70U,1,2000,85,"575 1000 63.5 x 70 0.25 3.80 ERHB5H1LGC102MD70U",parsed,false,361,tandelta_table,case_size_dxL_table,tandelta_derived,Nippon Chemi-Con,221.714582259,aluminum_electrolytic,esr_based,aluminum_electrolytic,industrial_smps_dc_link,cylindrical_can,screw_terminal_can
al-all-e.pdf,LXA,screw_terminal,400,680,50,60,3.00,120,105,0.20,0.20,tan_delta,0.390155253,2.72,ELXA401LGC681MC60U,1,5000,105,"400 680 50 x 60 0.20 3.00 ELXA401LGC681MC60U",parsed,false,368,tandelta_table,case_size_dxL_table,tandelta_derived,Nippon Chemi-Con,117.80972451,aluminum_electrolytic,esr_based,aluminum_electrolytic,industrial_smps_dc_link,cylindrical_can,screw_terminal_can
al-all-e.pdf,LXR,screw_terminal,350,3300,63.5,115,14.4,120,105,0.15,0.15,tan_delta,0.060285963,11.55,ELXR351LGC332MDB5U,1,5000,105,"350 3300 63.5 x 115 0.15 14.4 ELXR351LGC332MDB5U",parsed,false,371,tandelta_table,case_size_dxL_table,tandelta_derived,Nippon Chemi-Con,364.817671433,aluminum_electrolytic,esr_based,aluminum_electrolytic,industrial_smps_dc_link,cylindrical_can,screw_terminal_can
