example_part,od_in,id_in,ht_in,od_mm,id_mm,ht_mm,part_count,permeabilities,ae_cm2,le_cm,ve_cm3
MS-157014-2,1.57,0.95,0.57,39.878,24.13,14.477999999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.07,9.85,10.5
MS-159014-2,1.594,0.689,0.531,40.4876,17.5006,13.4874,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.52,9.11,13.9
MS-170014-2,1.701,0.732,0.571,43.2054,18.592799999999997,14.503399999999997,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.74,9.71,16.9
MS-171014-2,1.709,1.039,0.638,43.4086,26.390599999999996,16.205199999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.31,10.7,14.0
MS-184014-2,1.84,0.95,0.71,46.736,24.13,18.034,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.99,10.7,21.4
MS-185014-2,1.84,1.13,0.6,46.736,28.701999999999995,15.239999999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.34,11.6,15.6
MS-199014-2,2.0,0.975,0.82,50.8,24.764999999999997,20.827999999999996,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",2.65,11.4,30.2
MS-200014-2,2.0,1.25,0.53,50.8,31.75,13.462,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.25,12.7,15.9
MS-226014-2,2.25,1.039,0.6,57.15,26.390599999999996,15.239999999999998,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",2.29,12.5,28.6
MS-226014-2H305,2.25,1.039,1.2,57.15,26.390599999999996,30.479999999999997,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",4.57,12.5,57.2
MS-225014-2,2.25,1.4,0.55,57.15,35.559999999999995,13.97,9,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0, 160.0",1.44,14.3,20.6
MS-250014-2,2.5,1.235,0.984,63.5,31.369,24.993599999999997,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",3.89,14.3,55.8
MS-268014-2,2.677,1.417,0.787,67.9958,35.9918,19.9898,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",3.14,15.8,49.7
MS-292014-2,2.917,1.783,1.378,74.09179999999999,45.288199999999996,35.0012,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",4.94,18.4,90.9
MS-306014-2,3.063,1.549,1.018,77.8002,39.34459999999999,25.8572,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",4.78,17.0,81.5
MS-300014-2,3.063,1.938,0.5,77.8002,49.225199999999994,12.7,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",1.77,19.6,34.8
MS-301014-2,3.063,1.938,0.625,77.8002,49.225199999999994,15.875,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",2.22,19.6,43.5
MS-350014-2,3.498,2.599,0.627,88.8492,66.0146,15.925799999999999,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",1.83,24.0,43.9
MS-401014-2,4.0,2.25,0.535,101.6,57.15,13.589,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",2.97,24.3,72.1
MS-400014-2,4.0,2.25,0.65,101.6,57.15,16.509999999999998,8,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0, 147.0",3.52,24.3,85.5
MS-456060-2,4.564,3.032,0.866,115.92559999999999,77.0128,21.996399999999998,1,60.0,4.19,29.9,125
MS-500060-2,5.0,3.425,0.8,127.0,86.99499999999999,20.32,1,60.0,3.98,33.2,132
MS-520014-2,5.218,3.094,0.8,132.53719999999998,78.5876,20.32,7,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0",5.35,32.4,173
MS-521014-2,5.218,3.094,1.0,132.53719999999998,78.5876,25.4,7,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0, 125.0",6.71,32.4,218
MS-600014-2,6.0,3.2,0.8,152.39999999999998,81.28,20.32,6,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0",7.05,36.0,253
MS-601014-2,6.0,3.2,1.0,152.39999999999998,81.28,25.4,6,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0",8.81,36.0,317
MS-649014-2,6.5,3.504,1.0,165.1,89.0016,25.4,6,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0",9.59,38.7,371
MS-650014-2,6.5,4.031,1.25,165.1,102.38739999999999,31.75,6,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0",9.87,41.2,415
MS-775014-2,7.75,5.75,1.0,196.85,146.04999999999998,25.4,6,"14.0, 26.0, 40.0, 60.0, 75.0, 90.0",6.26,53.9,337
