"part_number","material","material_name","relative_permeability","al_nh_per_turn2","od_in","id_in","ht_in","od_mm","id_mm","ht_mm","ae_cm2","le_cm","ve_cm3","fmax_mhz","stock_qty","analyzer_url"
"MS-039014-2","MS","MS - Sendust","14","6","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039014-2"
"MS-039026-8","MS","MS - Sendust","26","11","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039026-8"
"MS-039026-2","MS","MS - Sendust","26","11","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039026-2"
"MS-039040-2","MS","MS - Sendust","40","17","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039040-2"
"MS-039040-8","MS","MS - Sendust","40","17","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039040-8"
"MS-039060-8","MS","MS - Sendust","60","25","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039060-8"
"MS-039060-2","MS","MS - Sendust","60","25","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039060-2"
"MS-039075-8","MS","MS - Sendust","75","32","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039075-8"
"MS-039075-2","MS","MS - Sendust","75","32","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039075-2"
"MS-039090-8","MS","MS - Sendust","90","38","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039090-8"
"MS-039090-2","MS","MS - Sendust","90","38","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039090-2"
"MS-039125-2","MS","MS - Sendust","125","53","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039125-2"
"MS-039125-8","MS","MS - Sendust","125","53","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","0.54","50","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039125-8"
"MS-039147-8","MS","MS - Sendust","147","63","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039147-8"
"MS-039147-2","MS","MS - Sendust","147","63","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039147-2"
"MS-039160-8","MS","MS - Sendust","160","68","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","0.41","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039160-8"
"MS-039160-2","MS","MS - Sendust","160","68","0.38","0.188","0.125","9.652","4.7752","3.175","0.0752","2.18","0.164","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-039160-2"
"MS-038014-8","MS","MS - Sendust","14","7","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","6.6","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038014-8"
"MS-038014-2","MS","MS - Sendust","14","7","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038014-2"
"MS-038026-8","MS","MS - Sendust","26","14","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","3.1","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038026-8"
"MS-038026-2","MS","MS - Sendust","26","14","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038026-2"
"MS-038040-2","MS","MS - Sendust","40","21","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038040-2"
"MS-038040-8","MS","MS - Sendust","40","21","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","1.7","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038040-8"
"MS-038060-8","MS","MS - Sendust","60","32","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","1.4","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038060-8"
"MS-038060-2","MS","MS - Sendust","60","32","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038060-2"
"MS-038075-8","MS","MS - Sendust","75","40","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","1.1","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038075-8"
"MS-038075-2","MS","MS - Sendust","75","40","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038075-2"
"MS-038090-2","MS","MS - Sendust","90","48","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038090-2"
"MS-038090-8","MS","MS - Sendust","90","48","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","0.88","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038090-8"
"MS-038125-8","MS","MS - Sendust","125","66","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","0.54","43","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038125-8"
"MS-038125-2","MS","MS - Sendust","125","66","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038125-2"
"MS-038147-8","MS","MS - Sendust","147","78","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","0.45","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038147-8"
"MS-038147-2","MS","MS - Sendust","147","78","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038147-2"
"MS-038160-2","MS","MS - Sendust","160","84","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038160-2"
"MS-038160-8","MS","MS - Sendust","160","84","0.38","0.188","0.156","9.652","4.7752","3.9624","0.0945","2.18","0.206","0.41","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-038160-8"
"MS-040014-2","MS","MS - Sendust","14","7","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040014-2"
"MS-040026-2","MS","MS - Sendust","26","14","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","3.1","4790","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040026-2"
"MS-040040-2","MS","MS - Sendust","40","21","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040040-2"
"MS-040060-2","MS","MS - Sendust","60","32","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","1.4","9990","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040060-2"
"MS-040075-2","MS","MS - Sendust","75","40","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040075-2"
"MS-040090-2","MS","MS - Sendust","90","48","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040090-2"
"MS-040125-2","MS","MS - Sendust","125","66","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","0.54","523","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040125-2"
"MS-040147-2","MS","MS - Sendust","147","78","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040147-2"
"MS-040160-2","MS","MS - Sendust","160","84","0.4","0.2","0.156","10.16","5.08","3.9624","0.1","2.38","0.238","0.41","6350","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-040160-2"
"MS-044014-2","MS","MS - Sendust","14","6","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044014-2"
"MS-044026-2","MS","MS - Sendust","26","11","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044026-2"
"MS-044040-2","MS","MS - Sendust","40","17","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044040-2"
"MS-044060-2","MS","MS - Sendust","60","26","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","1.4","121","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044060-2"
"MS-044075-2","MS","MS - Sendust","75","32","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044075-2"
"MS-044090-2","MS","MS - Sendust","90","38","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","0.88","1435","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044090-2"
"MS-044125-2","MS","MS - Sendust","125","53","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","0.54","5147","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044125-2"
"MS-044147-2","MS","MS - Sendust","147","63","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044147-2"
"MS-044160-2","MS","MS - Sendust","160","68","0.44","0.25","0.156","11.176","6.35","3.9624","0.0906","2.69","0.244","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-044160-2"
"MS-050014-2","MS","MS - Sendust","14","6.4","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","6.6","4542","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050014-2"
"MS-050026-2","MS","MS - Sendust","26","12","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","3.1","50","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050026-2"
"MS-050040-2","MS","MS - Sendust","40","18","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050040-2"
"MS-050060-2","MS","MS - Sendust","60","27","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","1.4","2470","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050060-2"
"MS-050075-2","MS","MS - Sendust","75","34","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","1.1","1562","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050075-2"
"MS-050090-2","MS","MS - Sendust","90","40","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","0.88","1633","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050090-2"
"MS-050125-2","MS","MS - Sendust","125","56","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","0.54","6409","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050125-2"
"MS-050147-2","MS","MS - Sendust","147","67","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","0.45","545","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050147-2"
"MS-050160-2","MS","MS - Sendust","160","72","0.5","0.3","0.187","12.7","7.62","4.7498","0.114","3.12","0.356","0.41","252","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050160-2"
"MS-050014-2H095","MS","MS - Sendust","14","12.8","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050014-2H095"
"MS-050026-2H095","MS","MS - Sendust","26","24","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050026-2H095"
"MS-050040-2H095","MS","MS - Sendust","40","36","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050040-2H095"
"MS-050060-2H095","MS","MS - Sendust","60","54","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050060-2H095"
"MS-050075-2H095","MS","MS - Sendust","75","68","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050075-2H095"
"MS-050090-2H095","MS","MS - Sendust","90","80","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050090-2H095"
"MS-050125-2H095","MS","MS - Sendust","125","112","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050125-2H095"
"MS-050147-2H095","MS","MS - Sendust","147","134","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050147-2H095"
"MS-050160-2H095","MS","MS - Sendust","160","144","0.5","0.3","0.374","12.7","7.62","9.4996","0.228","3.12","0.712","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-050160-2H095"
"MS-065014-2","MS","MS - Sendust","14","8","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","6.6","489","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065014-2"
"MS-065026-2","MS","MS - Sendust","26","15","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065026-2"
"MS-065040-2","MS","MS - Sendust","40","23","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065040-2"
"MS-065060-2","MS","MS - Sendust","60","35","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","1.4","60","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065060-2"
"MS-065075-2","MS","MS - Sendust","75","43","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","1.1","9229","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065075-2"
"MS-065090-2","MS","MS - Sendust","90","52","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065090-2"
"MS-065125-2","MS","MS - Sendust","125","72","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","0.54","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065125-2"
"MS-065147-2","MS","MS - Sendust","147","88","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065147-2"
"MS-065160-2","MS","MS - Sendust","160","92","0.655","0.4","0.25","16.637","10.16","6.35","0.192","4.11","0.789","0.41","561","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-065160-2"
"MS-068014-2","MS","MS - Sendust","14","10","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068014-2"
"MS-068026-2","MS","MS - Sendust","26","19","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068026-2"
"MS-068040-2","MS","MS - Sendust","40","29","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068040-2"
"MS-068060-2","MS","MS - Sendust","60","43","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","1.4","11336","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068060-2"
"MS-068075-2","MS","MS - Sendust","75","53","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","1.1","10032","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068075-2"
"MS-068090-2","MS","MS - Sendust","90","64","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","0.88","9132","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068090-2"
"MS-068125-2","MS","MS - Sendust","125","89","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","0.54","616","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068125-2"
"MS-068147-2","MS","MS - Sendust","147","105","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","0.45","50","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068147-2"
"MS-068160-2","MS","MS - Sendust","160","114","0.68","0.38","0.25","17.272","9.652","6.35","0.232","4.14","0.96","0.41","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068160-2"
"MS-068014-2H127","MS","MS - Sendust","14","20","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068014-2H127"
"MS-068026-2H127","MS","MS - Sendust","26","38","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068026-2H127"
"MS-068040-2H127","MS","MS - Sendust","40","58","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068040-2H127"
"MS-068060-2H127","MS","MS - Sendust","60","86","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068060-2H127"
"MS-068075-2H127","MS","MS - Sendust","75","106","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068075-2H127"
"MS-068090-2H127","MS","MS - Sendust","90","128","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068090-2H127"
"MS-068125-2H127","MS","MS - Sendust","125","178","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068125-2H127"
"MS-068147-2H127","MS","MS - Sendust","147","210","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068147-2H127"
"MS-068160-2H127","MS","MS - Sendust","160","228","0.68","0.38","0.5","17.272","9.652","12.7","0.464","4.14","1.92","0.41","420","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-068160-2H127"
"MS-080014-2","MS","MS - Sendust","14","7.8","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","6.6","709","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080014-2"
"MS-080026-2","MS","MS - Sendust","26","14","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","3.1","1867","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080026-2"
"MS-080040-2","MS","MS - Sendust","40","21","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","1.7","957","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080040-2"
"MS-080060-2","MS","MS - Sendust","60","32","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","1.4","1941","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080060-2"
"MS-080075-2","MS","MS - Sendust","75","41","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","1.1","87","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080075-2"
"MS-080090-2","MS","MS - Sendust","90","49","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","0.88","61","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080090-2"
"MS-080125-2","MS","MS - Sendust","125","68","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","0.54","953","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080125-2"
"MS-080147-2","MS","MS - Sendust","147","81","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","0.45","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080147-2"
"MS-080160-2","MS","MS - Sendust","160","87","0.8","0.5","0.25","20.32","12.7","6.35","0.226","5.09","1.15","0.41","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080160-2"
"MS-080014-2H127","MS","MS - Sendust","14","15.6","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080014-2H127"
"MS-080026-2H127","MS","MS - Sendust","26","28","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080026-2H127"
"MS-080040-2H127","MS","MS - Sendust","40","42","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080040-2H127"
"MS-080060-2H127","MS","MS - Sendust","60","64","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080060-2H127"
"MS-080075-2H127","MS","MS - Sendust","75","82","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","1.1","610","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080075-2H127"
"MS-080090-2H127","MS","MS - Sendust","90","98","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080090-2H127"
"MS-080125-2H127","MS","MS - Sendust","125","136","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080125-2H127"
"MS-080147-2H127","MS","MS - Sendust","147","162","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080147-2H127"
"MS-080160-2H127","MS","MS - Sendust","160","174","0.8","0.5","0.5","20.32","12.7","12.7","0.452","5.09","2.3","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-080160-2H127"
"MS-090014-2","MS","MS - Sendust","14","9.9","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090014-2"
"MS-090026-2","MS","MS - Sendust","26","19","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090026-2"
"MS-090040-2","MS","MS - Sendust","40","29","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090040-2"
"MS-090060-2","MS","MS - Sendust","60","43","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","1.4","12930","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090060-2"
"MS-090075-2","MS","MS - Sendust","75","54","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","1.1","2034","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090075-2"
"MS-090090-2","MS","MS - Sendust","90","65","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","0.88","799","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090090-2"
"MS-090125-2","MS","MS - Sendust","125","90","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","0.54","3105","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090125-2"
"MS-090147-2","MS","MS - Sendust","147","106","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","0.45","47","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090147-2"
"MS-090160-2","MS","MS - Sendust","160","115","0.9","0.55","0.3","22.86","13.97","7.62","0.331","5.67","1.88","0.41","46","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-090160-2"
"MS-092014-2","MS","MS - Sendust","14","12","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","6.6","1199","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092014-2"
"MS-092026-2","MS","MS - Sendust","26","22","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","3.1","562","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092026-2"
"MS-092040-2","MS","MS - Sendust","40","34","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","1.7","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092040-2"
"MS-092060-2","MS","MS - Sendust","60","51","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","1.4","28697","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092060-2"
"MS-092075-2","MS","MS - Sendust","75","63","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","1.1","100","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092075-2"
"MS-092090-2","MS","MS - Sendust","90","76","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","0.88","111","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092090-2"
"MS-092125-2","MS","MS - Sendust","125","105","0.928","0.567","0.35","23.5712","14.4018","8.89","0.388","5.88","2.28","0.54","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-092125-2"
