"part_number","material","material_name","relative_permeability","al_nh_per_turn2","od_in","id_in","ht_in","od_mm","id_mm","ht_mm","ae_cm2","le_cm","ve_cm3","fmax_mhz","stock_qty","analyzer_url"
"MS-025026-2","MS","MS - Sendust","26","10","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025026-2"
"MS-025026-8","MS","MS - Sendust","26","10","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025026-8"
"MS-025040-8","MS","MS - Sendust","40","16","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025040-8"
"MS-025040-2","MS","MS - Sendust","40","16","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025040-2"
"MS-025060-8","MS","MS - Sendust","60","24","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","1.4","350","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025060-8"
"MS-025060-2","MS","MS - Sendust","60","24","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025060-2"
"MS-025075-2","MS","MS - Sendust","75","30","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025075-2"
"MS-025075-8","MS","MS - Sendust","75","30","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025075-8"
"MS-025090-8","MS","MS - Sendust","90","36","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","0.88","20409","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025090-8"
"MS-025090-2","MS","MS - Sendust","90","36","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025090-2"
"MS-025125-8","MS","MS - Sendust","125","52","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","0.54","9473","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025125-8"
"MS-025125-2","MS","MS - Sendust","125","52","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025125-2"
"MS-025147-2","MS","MS - Sendust","147","58","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025147-2"
"MS-025147-8","MS","MS - Sendust","147","58","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","0.45","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025147-8"
"MS-025160-8","MS","MS - Sendust","160","64","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","0.41","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025160-8"
"MS-025160-2","MS","MS - Sendust","160","64","0.25","0.11","0.11","6.35","2.794","2.794","0.0476","1.36","0.0642","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-025160-2"
"MS-027014-8","MS","MS - Sendust","14","6.05","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027014-8"
"MS-027014-2","MS","MS - Sendust","14","6.05","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027014-2"
"MS-027026-2","MS","MS - Sendust","26","11","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027026-2"
"MS-027026-8","MS","MS - Sendust","26","11","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027026-8"
"MS-027040-8","MS","MS - Sendust","40","17","0.26","0.105","0.1","6.604","2.667","2.54","0.0467","1.36","0.064","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-027040-8"
