matrix_id,case_id,topology_id,status,operating_point_input_checksum,hardware_snapshot_checksum,waveform_metrics_checksum
04_boost_synchronous,c02_low_input_full_load,boost_synchronous_rectified_unidirectional,executed,5fe1c5d00a8219902dadfe2ef0bdcefe31193bf573b11d8edddbfcbb4d34d743,16b39b4dc9783bde9d3656e456cea5901ef8137fe37baf7afb6688b85ab114c8,1a207387ef4f6a163c24fe44d76d7652492a46546ac50584f6c006301a5b44b5
04_boost_synchronous,c03_high_input_full_load,boost_synchronous_rectified_unidirectional,executed,bc646e7db8b7a0f46d49334292b8ac8d9f8f3c59a1c35815b85128966f54880d,16b39b4dc9783bde9d3656e456cea5901ef8137fe37baf7afb6688b85ab114c8,848d4971d8b11e5b5803bbfd526c45b6ec465c7e2dbf043c975a8a1fba8700f0
04_boost_synchronous,c04_nominal_light_load_20pct,boost_synchronous_rectified_unidirectional,executed,b55093b8c4fa1f763f90cab96de472638085b9f670cc16b0b2e3fdaa31e68c83,16b39b4dc9783bde9d3656e456cea5901ef8137fe37baf7afb6688b85ab114c8,0a87b378c4e2bba13b029ac07f7a5c52342fa8d5747ec1fcb895265ad5a1bd5b
04_boost_synchronous,c05_nominal_high_ripple,boost_synchronous_rectified_unidirectional,executed,f22cfc3103863fd154d28824f6abb6144a18a10f70a5bcb3684efe00557a6346,16b39b4dc9783bde9d3656e456cea5901ef8137fe37baf7afb6688b85ab114c8,eeacc6827114b7d77cfdc3df0c01456435efb70407bf49438ed0741d0027d062
05_buck_boost_diode,c01_nominal_full_load,buck_boost_diode_rectified_unidirectional,executed,581bfac42a800221fb0df7617d84ff5068431a54bd2fe8737a4a83132eff2b91,cd36b71ab38222360efa0ce98a7fb993ec738c2711f924446be33b4350ef6954,7672a0a49e521d2dc7e501c8eae2efd57f9373616d27393080a039512ed6fd29
05_buck_boost_diode,c02_low_input_full_load,buck_boost_diode_rectified_unidirectional,executed,a4d6dbe1bad87f52eddd007cf20bfcc761576579a7c7fb1e628775a9a5c2a485,cd36b71ab38222360efa0ce98a7fb993ec738c2711f924446be33b4350ef6954,92863a52f56c8a8f092575b1b905379b7c3fc1d3f349838d532cd8400eabb601
05_buck_boost_diode,c03_high_input_full_load,buck_boost_diode_rectified_unidirectional,executed,6a8c8226c7b74d42d715bd4ff7038179a65a57c3e3120461cf6d516d569b01d5,cd36b71ab38222360efa0ce98a7fb993ec738c2711f924446be33b4350ef6954,5eccfcc81a71c9cb24cc35974d5414adf6595d7bc3e0ea8d17a22ff89194ae3b
05_buck_boost_diode,c04_nominal_light_load_20pct,buck_boost_diode_rectified_unidirectional,executed,afd6258038591d9cbca318ac9273c2cd67b96956858b38c18a86347af319f22c,cd36b71ab38222360efa0ce98a7fb993ec738c2711f924446be33b4350ef6954,de90853aabad8156285a5227f40b1bb16240b9daceb3f303faf908e996275fa2
05_buck_boost_diode,c05_nominal_high_ripple,buck_boost_diode_rectified_unidirectional,executed,e139666bd1bb77bbe4447d0ff8226301c702325456bb6e34dc6dcf3e84503422,cd36b71ab38222360efa0ce98a7fb993ec738c2711f924446be33b4350ef6954,7672a0a49e521d2dc7e501c8eae2efd57f9373616d27393080a039512ed6fd29
06_flyback_ccm,c01_nominal_full_load,flyback_diode_rectified_isolated,executed,9809fee8966974ffa9d39a577d2b301bb0dba153e684194663f87c23bfad0fd2,72e3a8d8c2615cabeeb9cd9cc617985dc87726fc83541ce5663c868a8c958665,eb2e9b74a3a6cd21b9c3c94f850f87687fc3c3381d6a062c597e5bdcc00b3ec4
06_flyback_ccm,c02_low_input_full_load,flyback_diode_rectified_isolated,executed,115349c681ace76d8f7581740c0e3609d03b1f59b2f4ee9e6ab9c8fe95ef0063,72e3a8d8c2615cabeeb9cd9cc617985dc87726fc83541ce5663c868a8c958665,30a3e4f4dffe8a911eb05d77c8c08af5ab143f9bbfb9935eaaa1f054984f5cd2
06_flyback_ccm,c03_high_input_full_load,flyback_diode_rectified_isolated,executed,a2b1546a0c9a875ea8da5efed5beb54fd8309a59b9b4879ac5903228bbab985c,72e3a8d8c2615cabeeb9cd9cc617985dc87726fc83541ce5663c868a8c958665,30aa483471a50400fbff8d9456a959c556bc9cf1a8f8d218b73413e59e13a3ab
06_flyback_ccm,c04_nominal_light_load_20pct,flyback_diode_rectified_isolated,executed,c4b36ba1e22aac63c45891babfce9532046032621070d4f11ecfd5687ee10c84,72e3a8d8c2615cabeeb9cd9cc617985dc87726fc83541ce5663c868a8c958665,0560e104dba949e1921308a8a8fab75178ddcc4d6d0d09ac0350ffdd4635b654
06_flyback_ccm,c05_nominal_high_ripple,flyback_diode_rectified_isolated,executed,9d07e0a375ff4395d75ee830294613a4f23c298141e1b79322290ed4f8621899,72e3a8d8c2615cabeeb9cd9cc617985dc87726fc83541ce5663c868a8c958665,eb2e9b74a3a6cd21b9c3c94f850f87687fc3c3381d6a062c597e5bdcc00b3ec4
07_psfb_diode,c01_nominal_full_load,phase_shifted_full_bridge_diode_rectifier_isolated,executed,3214b739bda7b71057429dbcd4835b28feab93d352bf3bf6a03110887eb2c912,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,a78df813b5b8c5670e0dec84d148329252ebe31621a7498e34c6e2c5d0366278
07_psfb_diode,c02_low_input_full_load,phase_shifted_full_bridge_diode_rectifier_isolated,executed,0f29d368d9f229c7981c854ff4fa4bcb3f39cfee69e2c04404438e4bdeb60e90,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,7cba7072fb8bc7855d733f5f1f48426beedc3ea56b0de24349a298d66b4eb0b2
07_psfb_diode,c03_high_input_full_load,phase_shifted_full_bridge_diode_rectifier_isolated,executed,0c41a91a31637eb9f796fea557dc6659d7ee6804245501af6757b7d361e7a339,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,858bcbc7534a6b35bb94aebbb682d118e2126ace32d5b154f38317bb12a135c1
07_psfb_diode,c04_nominal_light_load_20pct,phase_shifted_full_bridge_diode_rectifier_isolated,executed,8d71a5bca7be5d5263346dff9fd771075c93939f8e659b3d7a85c3229bef94c0,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,fd2b902c2d4e20b32de51ba13cda1fdf37ef503336384d85e79dd4dd2e8f8264
07_psfb_diode,c05_nominal_very_light_load_10pct,phase_shifted_full_bridge_diode_rectifier_isolated,executed,165416528ee3380d50625104a681d8c265fafb12423578a5c2c4b167e33c315e,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,0574b365107cba796d3276bfc896b77aacba7ce21058e1344acd2ae2b46853ad
07_psfb_diode,c06_nominal_high_frequency,phase_shifted_full_bridge_diode_rectifier_isolated,executed,b16ab5dc7c4c3216e2cc1646e4d53b0bf8f799e2ffed0be6189b8c526e8d8a92,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,84291a845a7333652361f3e6e49f3548a6418ba543f17d58aadb87e0adba3582
07_psfb_diode,c07_nominal_high_ripple,phase_shifted_full_bridge_diode_rectifier_isolated,executed,8d84fd24bff6a7c33f1b60ebc076206f8e9e95e2c61bab39f261366bd8a88cd8,3b8a9e9004ee311d464147bc5f985f36bc4bb2a0ae40c2da0b9e29ede303c09d,0e9a799347554f91dcfa9d4f8449c641f351f517ac7f2b13dc263e1632cdff0a
